	geneID	repID	modelID	type	mcmcID	var	mean
82	BGLOBIN	A	JCAA	post	1082	6.013605283605282	2.3194444444444446
83	BGLOBIN	A	JCAA	post	1083	5.765157342657344	2.2958333333333334
84	BGLOBIN	A	JCAA	post	1084	5.948938908313907	2.3090277777777777
85	BGLOBIN	A	JCAA	post	1085	5.991899281274283	2.329861111111111
86	BGLOBIN	A	JCAA	post	1086	5.790248640248641	2.2694444444444444
87	BGLOBIN	A	JCAA	post	1087	5.886058663558664	2.3097222222222222
88	BGLOBIN	A	JCAA	post	1088	5.861569055944055	2.29375
89	BGLOBIN	A	JCAA	post	1089	5.816853146853147	2.2916666666666665
90	BGLOBIN	A	JCAA	post	1090	5.848234265734265	2.279166666666667
91	BGLOBIN	A	JCAA	post	1091	6.0369619269619275	2.3194444444444446
92	BGLOBIN	A	JCAA	post	1092	5.893973873348874	2.3090277777777777
93	BGLOBIN	A	JCAA	post	1093	5.911608391608392	2.3
94	BGLOBIN	A	JCAA	post	1094	6.07165306915307	2.3152777777777778
95	BGLOBIN	A	JCAA	post	1095	6.078111402486405	2.3118055555555554
96	BGLOBIN	A	JCAA	post	1096	6.026118395493399	2.3256944444444443
97	BGLOBIN	A	JCAA	post	1097	5.84653409090909	2.2895833333333333
98	BGLOBIN	A	JCAA	post	1098	5.915768745143741	2.2743055555555554
99	BGLOBIN	A	JCAA	post	1099	5.8448208041958045	2.2979166666666666
100	BGLOBIN	A	JCAA	post	1100	5.8694153069153066	2.2847222222222223
101	BGLOBIN	A	JCAA	post	1101	5.931188811188813	2.3333333333333335
102	BGLOBIN	A	JCAA	post	1102	5.954755244755242	2.2916666666666665
103	BGLOBIN	A	JCAA	post	1103	5.8037917637917635	2.3111111111111113
104	BGLOBIN	A	JCAA	post	1104	5.906060120435121	2.317361111111111
105	BGLOBIN	A	JCAA	post	1105	5.813880633255635	2.2868055555555555
106	BGLOBIN	A	JCAA	post	1106	5.7984595959595975	2.298611111111111
107	BGLOBIN	A	JCAA	post	1107	5.904685314685317	2.308333333333333
108	BGLOBIN	A	JCAA	post	1108	5.904381798756799	2.317361111111111
109	BGLOBIN	A	JCAA	post	1109	5.736827894327895	2.3097222222222222
110	BGLOBIN	A	JCAA	post	1110	6.056006216006217	2.322222222222222
111	BGLOBIN	A	JCAA	post	1111	5.905170454545455	2.314583333333333
112	BGLOBIN	A	JCAA	post	1112	5.841800699300698	2.2874999999999996
113	BGLOBIN	A	JCAA	post	1113	5.832119269619271	2.2819444444444446
114	BGLOBIN	A	JCAA	post	1114	5.861743881118878	2.2979166666666666
115	BGLOBIN	A	JCAA	post	1115	5.783402777777778	2.304861111111111
116	BGLOBIN	A	JCAA	post	1116	5.959083139083137	2.3277777777777775
117	BGLOBIN	A	JCAA	post	1117	5.9266195609945616	2.295138888888889
118	BGLOBIN	A	JCAA	post	1118	5.71375242812743	2.304861111111111
119	BGLOBIN	A	JCAA	post	1119	5.819086538461536	2.2979166666666666
120	BGLOBIN	A	JCAA	post	1120	6.06419143356643	2.314583333333333
121	BGLOBIN	A	JCAA	post	1121	5.838018162393161	2.267361111111111
122	BGLOBIN	A	JCAA	post	1122	5.707101787101787	2.3055555555555554
123	BGLOBIN	A	JCAA	post	1123	5.86550067987568	2.295138888888889
124	BGLOBIN	A	JCAA	post	1124	5.807377136752139	2.2743055555555554
125	BGLOBIN	A	JCAA	post	1125	5.888243978243978	2.2972222222222225
126	BGLOBIN	A	JCAA	post	1126	5.899502719502719	2.3277777777777775
127	BGLOBIN	A	JCAA	post	1127	5.844566822066822	2.2930555555555556
128	BGLOBIN	A	JCAA	post	1128	6.007373251748252	2.310416666666667
129	BGLOBIN	A	JCAA	post	1129	5.8197547591297605	2.2868055555555555
130	BGLOBIN	A	JCAA	post	1130	5.887972027972027	2.316666666666667
131	BGLOBIN	A	JCAA	post	1131	5.831730769230768	2.3125
132	BGLOBIN	A	JCAA	post	1132	5.9709746503496515	2.3020833333333335
133	BGLOBIN	A	JCAA	post	1133	6.053986013986009	2.316666666666667
134	BGLOBIN	A	JCAA	post	1134	5.915100524475522	2.285416666666667
135	BGLOBIN	A	JCAA	post	1135	5.829544968919968	2.2868055555555555
136	BGLOBIN	A	JCAA	post	1136	5.7565263209013215	2.2659722222222225
137	BGLOBIN	A	JCAA	post	1137	5.779362859362857	2.2777777777777777
138	BGLOBIN	A	JCAA	post	1138	5.783636363636364	2.283333333333333
139	BGLOBIN	A	JCAA	post	1139	5.825523989898993	2.3118055555555554
140	BGLOBIN	A	JCAA	post	1140	5.868880633255634	2.2993055555555557
141	BGLOBIN	A	JCAA	post	1141	5.939987859362859	2.290972222222222
142	BGLOBIN	A	JCAA	post	1142	5.599960664335662	2.2562499999999996
143	BGLOBIN	A	JCAA	post	1143	5.960324397824399	2.3152777777777778
144	BGLOBIN	A	JCAA	post	1144	5.92660402097902	2.3270833333333334
145	BGLOBIN	A	JCAA	post	1145	5.911093628593629	2.2847222222222223
146	BGLOBIN	A	JCAA	post	1146	5.8990034965034965	2.3208333333333333
147	BGLOBIN	A	JCAA	post	1147	5.99197358197358	2.3138888888888887
148	BGLOBIN	A	JCAA	post	1148	5.876501554001557	2.301388888888889
149	BGLOBIN	A	JCAA	post	1149	5.8768453768453774	2.2777777777777777
150	BGLOBIN	A	JCAA	post	1150	5.85966588966589	2.286111111111111
151	BGLOBIN	A	JCAA	post	1151	5.985170454545456	2.314583333333333
152	BGLOBIN	A	JCAA	post	1152	5.9499606643356655	2.29375
153	BGLOBIN	A	JCAA	post	1153	5.993950563325564	2.3256944444444443
154	BGLOBIN	A	JCAA	post	1154	5.861712801087802	2.2756944444444445
155	BGLOBIN	A	JCAA	post	1155	5.800104409479404	2.2631944444444443
156	BGLOBIN	A	JCAA	post	1156	5.966006216006216	2.2972222222222225
157	BGLOBIN	A	JCAA	post	1157	5.756688034188037	2.2847222222222223
158	BGLOBIN	A	JCAA	post	1158	5.992119269619271	2.3319444444444444
159	BGLOBIN	A	JCAA	post	1159	5.849533313908314	2.321527777777778
160	BGLOBIN	A	JCAA	post	1160	5.722608780108782	2.2569444444444446
161	BGLOBIN	A	JCAA	post	1161	5.86410062160062	2.290277777777778
